State,City/Location Name,Full Address,Phone Number
Florida (FL),Pensacola Christian College,"250 Brent Ln, 								Pensacola, FL 32503",(850) 478-8496
Florida (FL),Pensacola International Airport,"2430 Airport Blvd, 								Pensacola, FL 32504",(850) 434-6033
Florida (FL),Pine Island Road,"1790 NE Pine Island Rd, 								Cape Coral, FL 33909",(239) 242-8748
Florida (FL),Pines & 160th,"15901 Pines Blvd, 								Pembroke Pines, FL 33027",(954) 372-3363
Florida (FL),Pines and Flamingo,"12203 Pines Blvd (Outside Mall), 								Pembroke Pines, FL 33026",(954) 392-9766
Florida (FL),Plant City,"1101 Goldfinch Dr, 								Plant City, FL 33563",(813) 704-4020
Florida (FL),Pompano Beach,"2250 N Federal Hwy, 								Pompano Beach, FL 33062",(954) 943-5855
Florida (FL),Port Charlotte,"1814 Tamiami Trl, 								Port Charlotte, FL 33948",(941) 766-6106
Florida (FL),Port Orange Gateway Center,"1761 Dunlawton Ave, 								Port Orange, FL 32127",(386) 767-3377
Florida (FL),Regency Park,"9398 Atlantic Blvd, 								Jacksonville, FL 32225",(904) 724-4828
Florida (FL),River City Marketplace,"14020 Lunar Dr, 								Jacksonville, FL 32218",(904) 757-1430
Florida (FL),River Landing In-Line,"1410 NW N River Dr, 								Miami, FL 33125",(786) 864-0400
Florida (FL),Riverview (FL),"12810 Summerfield Crossing Blvd, 								Riverview, FL 33579",(813) 499-9933
Florida (FL),Royal Palm Beach,"206 S State Road 7, 								West Palm Beach, FL 33414",(561) 721-8650
Florida (FL),Sand Lake Road,"7333 W Sand Lake Rd, 								Orlando, FL 32819",(407) 370-9295
Florida (FL),Sanford (FL),"4590 W State Road 46, 								Sanford, FL 32771",(407) 878-6385
Florida (FL),Sawgrass Square,"12600 W Sunrise Blvd, 								Sunrise, FL 33323",(954) 846-1870
Florida (FL),Saxon Boulevard,"1141 Saxon Blvd, 								Orange City, FL 32763",(386) 774-8625
Florida (FL),Sebring,"2740 US 27 North, 								Sebring, FL 33870",(863) 658-4122
Florida (FL),Seminole Plaza,"10790 Park Blvd, 								Seminole, FL 33772",(727) 398-0777
Florida (FL),Shands Hospital (Sun Terrace)-Gainesville,"114 Recreational Dining Ctr, 								Gainesville, FL 32611",(352) 392-1021
Florida (FL),South Dale Mabry,"609 S Dale Mabry Hwy, 								Tampa, FL 33609",(813) 873-1938
Florida (FL),South Florida Avenue,"4625 S Florida Ave, 								Lakeland, FL 33813",(863) 607-9300
Florida (FL),South Magnolia Drive,"299 S Magnolia Dr, 								Tallahassee, FL 32301",(850) 878-7095
Florida (FL),South Mandarin,"11709 San Jose Blvd, 								Jacksonville, FL 32223",(904) 503-9773
Florida (FL),South Walton,"52 Scenic Gulf Dr, 								Miramar Beach, FL 32550",(850) 846-6246
Florida (FL),Southchase Plaza,"13085 S Orange Blossom Trl, 								Orlando, FL 32837",(407) 251-4612
Florida (FL),Southeastern University,"1000 Longfellow Blvd, 								Lakeland, FL 33801",
Florida (FL),Southside Blvd at the Avenues,"9980 Southside Blvd, 								Jacksonville, FL 32256",(904) 519-0505
Florida (FL),Southside Blvd at Tinseltown,"4461 Southside Blvd, 								Jacksonville, FL 32216",(904) 646-9333
Florida (FL),Spring Hill,"13143 Cortez Blvd, 								Brooksville, FL 34613",(352) 596-2826
Florida (FL),SR 16 & Inman Road,"2244 State Road 16, 								Saint Augustine, FL 32084",(904) 808-8519
Florida (FL),St. Augustine,"1752 US Highway 1 S, 								Saint Augustine, FL 32084",(904) 810-2201
Florida (FL),St. Cloud,"4360 13th St, 								Saint Cloud, FL 34769",(407) 891-6985
Florida (FL),St. Johns Town Center,"4625 Town Center Pkwy, 								Jacksonville, FL 32246",(904) 928-9498
Florida (FL),St. Lucie West,"1611 NW St Lucie W Blvd, 								Port Saint Lucie, FL 34986",(772) 204-2653
Florida (FL),St. Pete Beach,"4623 Gulf Blvd, 								St Pete Beach, FL 33706",(727) 367-7038
Florida (FL),Stanford Station Shopping Center,"900 W 23rd St, 								Panama City, FL 32405",(850) 481-1311
Florida (FL),Stuart,"2930 SE Federal Hwy, 								Stuart, FL 34994",(772) 223-5442
Florida (FL),Tampa International Airport-Airside A,"4100 George J Bean Pkwy, 								Tampa, FL 33607",(813) 387-9845
Florida (FL),Tampa International Airport-Main Terminal,"4100 George J Bean Pkwy, 								Tampa, FL 33607",(813) 387-9866
Florida (FL),Tampa Stadium,"2551 N Dale Mabry Hwy, 								Tampa, FL 33607",(813) 450-1832
Florida (FL),Temple Terrace,"5302 E Fowler Ave, 								Temple Terrace, FL 33617",(813) 914-0295
Florida (FL),The Fountains of Miramar,"3211 SW 160th Ave, 								Miramar, FL 33027",(954) 433-3890
Florida (FL),The Gardens,"3101 Pga Blvd Ste L209, 								Palm Beach Gardens, FL 33410",(561) 624-0144
Florida (FL),The Loop,"3286 N John Young Pkwy, 								Kissimmee, FL 34741",(407) 935-0102
Florida (FL),The Mall at Millenia,"4200 Conroy Rd Ste 245, 								Orlando, FL 32839",(407) 226-9945
Florida (FL),The Mall at Wellington Green,"10300 Forest Hill Blvd Ste FC108, 								Wellington, FL 33414",(561) 333-4242
Florida (FL),The Ridge,"5023 Highway 90, 								Pace, FL 32571",(850) 995-9456
Florida (FL),The Standard In-Line,"1340 W University Ave, 								Gainesville, FL 32603",(352) 376-4000
Florida (FL),The Villages,"730 N US Highway 441, 								The Villages, FL 32159",(352) 430-0223
Florida (FL),Town Center at Boca Raton,"6000 Glades Rd Ste 1166C, 								Boca Raton, FL 33431",(561) 347-1622
Florida (FL),Treasure Coast Square,"3278 NW Federal Hwy, 								Jensen Beach, FL 34957",(772) 692-2322
Florida (FL),Tuskawilla Road,"1454 Tuskawilla Rd, 								Winter Springs, FL 32708",(407) 696-8333
Florida (FL),Tyndall Parkway,"401 N Tyndall Pkwy, 								Panama City, FL 32404",(850) 872-1512
Florida (FL),Tyrone Boulevard,"2190 Tyrone Blvd N, 								Saint Petersburg, FL 33710",(727) 977-9290
Florida (FL),Tyrone Square Mall,"2257 Tyrone Sq, 								Saint Petersburg, FL 33710",(727) 381-2066
Florida (FL),Universal Blvd,"9500 McKenna Dr, 								Orlando, FL 32819",(407) 757-7001
Florida (FL),University at Forsyth,"3391 University Blvd, 								Winter Park, FL 32792",(407) 673-9661
Florida (FL),University at Rouse,"11350 University Blvd, 								Orlando, FL 32817",(407) 737-0003
Florida (FL),University of Central Florida,"4000 Central Florida Blvd, 								Orlando, FL 32816",(407) 823-2238
Florida (FL),University of Central Florida - RWC,"12820 Gemini Blvd, 								Orlando, FL 32815",
Florida (FL),University of Florida,"114 Recreational Dining Ctr, 								Gainesville, FL 32611",(352) 392-9411
Florida (FL),University of North Florida,"1 U N F Dr, 								Jacksonville, FL 32224",
Florida (FL),University of South Florida,"4202 E Fowler Ave, 								Tampa, FL 33620",(813) 974-0917
Florida (FL),University of Tampa,"401 W Kennedy Blvd, 								Tampa, FL 33606",(813) 258-7257
Florida (FL),University of West Florida,"1100 University Pkwy, 								Pensacola, FL 32514",(850) 857-6260
Florida (FL),Uptown District,"2811 E Fowler Ave, 								Tampa, FL 33612",(813) 631-5110
Florida (FL),UTC,"5489 University Pkwy, 								University Park, FL 34201",(941) 263-3341
Florida (FL),Vero Beach,"6020 Elon Ln, 								Vero Beach, FL 32966",(772) 567-0222
Florida (FL),Vineland Pointe,"11709 Daryl Carter Parkway, 								Orlando, FL 32821",(407) 379-1661
Florida (FL),Waterford Lakes Town Center,"633 N Alafaya Trl, 								Orlando, FL 32828",(407) 281-8897
Florida (FL),Waters Ave.,"6299 W Waters Ave, 								Tampa, FL 33634",(813) 880-0808
Florida (FL),Wells Road,"1925 Wells Rd, 								Orange Park, FL 32073",(904) 541-1111
Florida (FL),Wesley Chapel (FL),"28295 State Road 54, 								Wesley Chapel, FL 33543",(813) 402-4090
Florida (FL),West Boca,"9536 Glades Rd, 								Boca Raton, FL 33434",(561) 232-3572
Florida (FL),West Boynton Beach,"8796 Boynton Beach Blvd, 								Boynton Beach, FL 33472",(561) 536-2256
Florida (FL),West Hillsborough,"8465 W Hillsborough Ave, 								Tampa, FL 33615",(813) 838-6892
Florida (FL),West Ocala,"5048 SW 48th Avenue, 								Ocala, FL 34474",(352) 850-5742
Florida (FL),West Tennessee Street,"1775 W Tennessee St, 								Tallahassee, FL 32304",(850) 224-2112
Florida (FL),Westfield Brandon,"519 Brandon Town Center Mall, 								Brandon, FL 33511",(813) 654-6769
Florida (FL),Westfield Countryside Mall,"27001 US Highway 19 N Ste 2089, 								Clearwater, FL 33761",(727) 471-6380
Florida (FL),Weston,"15990 SW 41st St, 								Davie, FL 33331",(954) 384-5113
Florida (FL),Westshore Plaza,"241 Westshore Plz # A, 								Tampa, FL 33609",(813) 291-0615
Florida (FL),Wickham & 95,"8300 N Wickham Rd, 								Melbourne, FL 32940",(321) 751-0801
Florida (FL),Winter Garden,"3166 Daniels Rd, 								Winter Garden, FL 34787",(407) 656-0721
Florida (FL),Winter Haven,"143 Landings Blvd, 								Winter Haven, FL 33880",(863) 299-2697
Florida (FL),Zephyrhills,"7490 Gall Blvd, 								Zephyrhills, FL 33541",(813) 702-1222
Georgia (GA),Abercorn,"11152 Abercorn St, 								Savannah, GA 31419",(912) 921-0909
Georgia (GA),Acworth,"3295 Cobb Pkwy NW, 								Acworth, GA 30101",(770) 966-8918
Georgia (GA),Akers Mill Drive-Thru Only,"2975 Cobb Pkwy SE, 								Atlanta, GA 30339",(770) 612-0930
Georgia (GA),Albany,"2609 Dawson Rd, 								Albany, GA 31707",(229) 889-1166
Georgia (GA),Albany State University,"504 College Dr, 								Albany, GA 31705",(229) 430-4747
Georgia (GA),Alpharetta Commons,"4285 State Bridge Rd, 								Alpharetta, GA 30022",(770) 521-2132
Georgia (GA),Americus [GA],"736 E Forsyth St, 								Americus, GA 31709",(229) 389-2775
Georgia (GA),Arbor Place,"6700 Douglas Blvd Ste 210, 								Douglasville, GA 30135",(678) 838-9551
Georgia (GA),AT&T Center OCV,"725 W Peachtree St NE, 								Atlanta, GA 30308",(404) 610-9965
Georgia (GA),Athens/Atlanta Highway,"3637 Atlanta Hwy, 								Athens, GA 30606",(706) 369-1806
Georgia (GA),Augusta Exchange,"202 Robert C Daniel Jr Pkwy, 								Augusta, GA 30909",(706) 738-9163
Georgia (GA),Augusta Mall,"3450 Wrightsboro Rd, 								Augusta, GA 30909",(706) 733-7541
Georgia (GA),Austell Road,"3951 Austell Rd, 								Austell, GA 30106",(470) 523-8388
Georgia (GA),Avalon,"2720 Old Milton Pkwy, 								Alpharetta, GA 30009",(678) 266-6212
Georgia (GA),Bainbridge,"1451 Tallahassee Hwy, 								Bainbridge, GA 39819",(229) 246-0458
Georgia (GA),Bankhead Hwy,"1156 Bankhead Hwy, 								Carrollton, GA 30116",(770) 830-9547
Georgia (GA),Barnett Shoals,"1870 Barnett Shoals Rd, 								Athens, GA 30605",(706) 549-0111
Georgia (GA),Barrett Parkway,"830 Ernest W Barrett Pkwy NW, 								Kennesaw, GA 30144",(770) 643-4079
Georgia (GA),Bass Road,"1569 Bass Rd, 								Macon, GA 31210",(478) 254-7911
Georgia (GA),Beechwood,"196 Alps Rd, 								Athens, GA 30606",(706) 613-7115
Georgia (GA),Berry College,"2277 Martha Berry Hwy NW, 								Mount Berry, GA 30149",(706) 368-6968
Georgia (GA),Blairsville,"152 Highway 515 E, 								Blairsville, GA 30512",(706) 745-0515
Georgia (GA),Bradley Park Drive,"1600 Bradley Park Dr, 								Columbus, GA 31904",(762) 583-2614
Georgia (GA),Braselton,"2600 Old Winder Hwy, 								Braselton, GA 30517",(770) 967-0053
Georgia (GA),Bremen,"89 US Highway 27 Byp, 								Bremen, GA 30110",(770) 537-8744
Georgia (GA),Brookhaven,"4046 Peachtree Rd NE, 								Brookhaven, GA 30319",(404) 239-3022
Georgia (GA),Brookstone,"1790 Mars Hill Rd NW, 								Acworth, GA 30101",(770) 514-9850
Georgia (GA),Brunswick (GA),"70 Golden Isles Plz, 								Brunswick, GA 31520",(912) 466-9911
Georgia (GA),Buford,"1615 Buford Hwy, 								Buford, GA 30518",
Georgia (GA),Byron [GA],"402 GA Highway 49 N, 								Byron, GA 31008",(478) 956-9755
Georgia (GA),Calhoun,"495 Highway 53 E, 								Calhoun, GA 30701",(706) 624-1890
Georgia (GA),Camp Creek Parkway,"3410 Camp Creek Pkwy, 								Atlanta, GA 30344",(404) 494-9320
Georgia (GA),Canton Marketplace,"2048 Cumming Hwy, 								Canton, GA 30115",(770) 479-0802
Georgia (GA),Carrollton,"1316 S Park St, 								Carrollton, GA 30117",(770) 832-8538
Georgia (GA),Cascade Road,"3725 Cascade Rd SW, 								Atlanta, GA 30331",(404) 696-3300
Georgia (GA),Cedartown [GA],"1610 Rome Hwy, 								Cedartown, GA 30125",(470) 296-2266
Georgia (GA),Chamblee Plaza,"5450 Peachtree Industrial Blvd, 								Chamblee, GA 30341",(770) 457-1679
Georgia (GA),Chastain Road In-Line DT,"600 Chastain Rd NW Ste 100, 								Kennesaw, GA 30144",(770) 422-0158
Georgia (GA),Chastain Square,"4285 Roswell Rd NE, 								Atlanta, GA 30342",(404) 303-9275
Georgia (GA),Cherokee Place,"115 Cherokee Pl, 								Cartersville, GA 30121",(770) 382-2005
Georgia (GA),Children's Hospital of Georgia,"1446 Harper St, 								Augusta, GA 30912",(706) 723-7575
Georgia (GA),Clayton,"151 Highway 441 N, 								Clayton, GA 30525",(706) 212-0022
Georgia (GA),Cleveland (GA),"25 W Underwood St, 								Cleveland, GA 30528",(706) 865-1738
Georgia (GA),Cleveland Avenue,"1065 Cleveland Ave, 								East Point, GA 30344",(404) 762-1333
Georgia (GA),CNN Center,"1 Cnn Ctr NW Ste 224, 								Atlanta, GA 30303",(404) 659-4449
Georgia (GA),College Football Hall of Fame,"256 Marietta St NW, 								Atlanta, GA 30313",(404) 549-7993
Georgia (GA),Colony Square,"1175 Peachtree St NE, 								Atlanta, GA 30361",(404) 685-3636
Georgia (GA),Columbus Park Crossing,"5520 Whittlesey Blvd, 								Columbus, GA 31909",(706) 653-5143
Georgia (GA),Columbus State University,"4225 University Ave, 								Columbus, GA 31907",(706) 507-8373
Georgia (GA),Commerce,"30563 Highway 441 S, 								Commerce, GA 30529",(706) 423-9810
Georgia (GA),Conyers,"1536 Highway 138 SE, 								Conyers, GA 30013",(470) 207-9869
Georgia (GA),Cordele,"1711 E 16th Ave, 								Cordele, GA 31015",(229) 273-4300
Georgia (GA),Cornelia,"330 Furniture Plaza Dr, 								Cornelia, GA 30531",(706) 776-0090
Georgia (GA),Covington (GA),"4102 Highway 278 NW, 								Covington, GA 30014",(770) 787-0400
Georgia (GA),Covington Town Center,"11500 Town Center Drive, 								Covington, GA 30014",(678) 695-6577
Georgia (GA),Coweta Crossroads,"5 Glenda Trce, 								Newnan, GA 30265",(770) 254-9140
Georgia (GA),Cumberland Mall,"2860 Cumberland Mall SE Ste 1324, 								Atlanta, GA 30339",(770) 435-2777
Georgia (GA),Dacula,"545 Dacula Rd, 								Dacula, GA 30019",(678) 377-7777
Georgia (GA),Dahlonega,"488 Morrison Moore Pkwy E, 								Dahlonega, GA 30533",(706) 864-6600
Georgia (GA),Dallas (GA),"300 Charlie Watts Dr, 								Dallas, GA 30157",(770) 445-7713
Georgia (GA),Dalton,"1429 W Walnut Ave, 								Dalton, GA 30720",(706) 275-0355
Georgia (GA),Dalton Mall,"816 Walnut Square Blvd Ste 59, 								Dalton, GA 30721",(706) 226-1009
Georgia (GA),Dawsonville,"231 Power Center Dr, 								Dawsonville, GA 30534",(706) 265-4997
Georgia (GA),Delta Air Lines Headquarters,"1030 Delta Blvd, 								Atlanta, GA 30354",
Georgia (GA),Doraville Plaza,"5700 Buford Hwy Ne, 								Doraville, GA 30340",(770) 936-9701
Georgia (GA),Douglas [GA],"1305 Peterson Ave S, 								Douglas, GA 31533",(912) 384-0211
Georgia (GA),Douglasville,"3202 Highway 5, 								Douglasville, GA 30135",(770) 627-2967
Georgia (GA),Downtown Athens In-Line,"101 College Ave, 								Athens, GA 30601",(706) 546-1009
Georgia (GA),Downtown Decatur,"105 E Trinity Pl, 								Decatur, GA 30030",(404) 371-1466
Georgia (GA),Dublin,"2002 Veterans Blvd, 								Dublin, GA 31021",(478) 272-3007
Georgia (GA),Dwarf House Chick-fil-A Classics Mt. Berry Square,"726 Mount Berry Sq NE, 								Rome, GA 30165",(706) 236-9178
Georgia (GA),Dwarf House Shipping Container Drive-Thru,"315 Riverside Pkwy NE, 								Rome, GA 30161",(706) 266-6857
Georgia (GA),Eagles Corner,"333 Tormenta Way, 								Statesboro, GA 30458",(912) 259-9101
Georgia (GA),Eagles Landing,"1275 Eagles Landing Pkwy, 								Stockbridge, GA 30281",(770) 507-4119
Georgia (GA),East Lake,"2105 Roswell Rd, 								Marietta, GA 30062",(770) 977-3355
Georgia (GA),Eisenhower Parkway,"5055 Brookhaven Rd, 								Macon, GA 31206",(478) 788-1094
Georgia (GA),Ellijay,"475 Howard Simmons Rd, 								Ellijay, GA 30540",(706) 636-0475
Georgia (GA),Epps Bridge,"1870 Epps Bridge Pkwy, 								Athens, GA 30606",(706) 369-9500
Georgia (GA),Fairburn,"7810 Senoia Rd, 								Fairburn, GA 30213",(770) 892-3908
Georgia (GA),Fairburn Road Drive-Thru Only,"5888 Fairburn Rd, 								Douglasville, GA 30134",(770) 942-0820
Georgia (GA),Fayetteville Dwarf House,"221 Banks Sta, 								Fayetteville, GA 30214",(770) 461-5813
Georgia (GA),Fayetteville Towne Center,"875 Glynn St S, 								Fayetteville, GA 30214",(770) 460-7602
Georgia (GA),Forest Park Dwarf House,"4959 Jonesboro Rd, 								Forest Park, GA 30297",(404) 361-3443
Georgia (GA),Forsyth [GA],"101 Industrial Park Rd, 								Forsyth, GA 31029",(478) 394-4140
Georgia (GA),Fort Oglethorpe,"1137 Battlefield Pkwy, 								Fort Oglethorpe, GA 30742",(706) 858-1072
Georgia (GA),Fort Valley State University,"1005 State University Dr, 								Fort Valley, GA 31030",(478) 825-5269
Georgia (GA),Gainesville West,"805 Dawsonville Hwy, 								Gainesville, GA 30501",(770) 297-1722
Georgia (GA),Georgia College and State University,"231 W Hancock St, 								Milledgeville, GA 31061",(478) 452-2409
Georgia (GA),Georgia Gwinnett College,"1000 University Center Ln, 								Lawrenceville, GA 30043",(678) 407-5090
Georgia (GA),Georgia Southern University,"8107 Russell Un, 								Statesboro, GA 30460",(912) 478-0447
Georgia (GA),Georgia Southern University - Armstrong Campus,"11935 Abercorn St, 								Savannah, GA 31419",(912) 344-3246
Georgia (GA),Georgia Southwestern State University,"800 Gsw State University Dr, 								Americus, GA 31709",(229) 931-2500
Georgia (GA),Georgia State University,"66 Courtland Street, 								Atlanta, GA 30303",(404) 413-9634
Georgia (GA),Georgia State University - Petit Science Center,"145 Piedmonst Avenue SE, 								Atlanta, GA 30303",
Georgia (GA),Georgia Tech,"350 Ferst Dr NW, 								Atlanta, GA 30332",(470) 300-9169
Georgia (GA),Glenwood Place,"401 Bill Kennedy Way SE, 								Atlanta, GA 30316",(470) 300-9579
Georgia (GA),Godley Station,"205 Grand Central Boulevard, 								Pooler, GA 31322",(912) 330-2723
Georgia (GA),Grady Memorial Hospital,"80 Jesse Hill Jr Dr Se, 								Atlanta, GA 30303",
Georgia (GA),Griffin,"1000 W Taylor St, 								Griffin, GA 30223",(770) 227-0716
Georgia (GA),Grovetown,"210 Meridian Dr, 								Grovetown, GA 30813",(706) 863-1110
Georgia (GA),Gulfstream Aerospace,"500 Gulfstream Rd, 								Savannah, GA 31408",
Georgia (GA),Halcyon,"6105 Ollie Walk, 								Alpharetta, GA 30005",(678) 404-8633
Georgia (GA),Hamilton Mill,"2635 Hamilton Mill Rd, 								Buford, GA 30519",(678) 482-6480
Georgia (GA),Hartsfield-Jackson Atlanta Int'l Airport - Conc A,"6000 N Terminal Pkwy, 								Atlanta, GA 30320",(404) 762-2510
Georgia (GA),Hartsfield-Jackson Atlanta Int'l Airport - Conc C,"7700 Spine Rd, 								Atlanta, GA 30320",(404) 761-4213
Georgia (GA),Hickory Flat,"6114 Hickory Flat Hwy, 								Canton, GA 30115",(678) 493-0091
Georgia (GA),Hills and Dales,"2110 Vernon Street, 								Lagrange, GA 30240",(762) 323-6325
Georgia (GA),Hinesville,"877 W Oglethorpe Hwy, 								Hinesville, GA 31313",(912) 877-6631
Georgia (GA),Hiram,"5223 Jimmy Lee Smith Parkway, 								Hiram, GA 30141",(678) 726-9922
Georgia (GA),Howell Mill,"1942 Howell Mill Rd NW, 								Atlanta, GA 30318",(404) 351-8050
Georgia (GA),Hwy 96 and Houston Lake,"790 Highway 96, 								Bonaire, GA 31005",(478) 987-2140
Georgia (GA),Jefferson (GA),"156 Old Farm Road, 								Jefferson, GA 30549",(706) 708-0220
Georgia (GA),Jesse Jewell Parkway,"1917 Jesse Jewell Pkwy NE, 								Gainesville, GA 30501",(770) 297-7936
Georgia (GA),Jett Ferry Road,"2480 Jett Ferry Rd, 								Dunwoody, GA 30338",(770) 391-9277
Georgia (GA),Jimmy Carter Blvd.,"5455 Jimmy Carter Blvd, 								Norcross, GA 30093",(770) 248-1088
Georgia (GA),Jodeco Road,"2155 Jodeco Rd, 								McDonough, GA 30253",(678) 272-4008
Georgia (GA),Johns Creek,"3643 Peachtree Pkwy, 								Suwanee, GA 30024",(770) 813-1594
Georgia (GA),Jonesboro Dwarf House,"7348 Tara Blvd, 								Jonesboro, GA 30236",(770) 478-1595
Georgia (GA),Kedron Village,"1100 N Peachtree Pkwy, 								Peachtree City, GA 30269",(770) 486-9517
Georgia (GA),Kennesaw State University,"395 Cobb Ave NW, 								Kennesaw, GA 30144",(770) 423-6611
Georgia (GA),Kennesaw State University - Marietta,"1100 S Marietta Pkwy SE, 								Marietta, GA 30060",
Georgia (GA),Kingsland,"113 Lakes Blvd, 								Kingsland, GA 31548",(912) 510-6215
Georgia (GA),Kroger/W. Marietta Crossing,"1000 Whitlock Ave NW, 									, c/o Kroger Store GA-455								Marietta, GA 30064",(770) 427-2200
Georgia (GA),LaFayette Parkway,"1574 Lafayette Pkwy, 								Lagrange, GA 30241",(706) 845-8484
Georgia (GA),Lake Dow,"860 Highway 81 E, 								McDonough, GA 30252",(770) 957-4999
Georgia (GA),Lake Oconee [GA],"2521 Towne Center Pkwy, 								Greensboro, GA 30642",(706) 454-1470
Georgia (GA),Lake Park,"1015 Lakes Blvd, 								Lake Park, GA 31636",(229) 559-4901
Georgia (GA),LakePoint,"94 Old Allatoona Rd SE, 								Cartersville, GA 30121",(770) 386-1208
Georgia (GA),Larry Mulkey Memorial Rd,"725 Atlanta Hwy, 								Cumming, GA 30040",
Georgia (GA),Lassiter,"3046 Shallowford Rd, 								Marietta, GA 30062",(770) 579-0076
Georgia (GA),Lavonia [GA],"20 Owens Dr, 								Lavonia, GA 30553",(706) 356-0354
Georgia (GA),Lee Crossings,"1202 US Highway 19 S, 								Leesburg, GA 31763",(229) 446-8781
Georgia (GA),Lenox Square,"3393 Peachtree Rd NE, 								Atlanta, GA 30326",(404) 665-5566
Georgia (GA),Lilburn,"4801 Lawrenceville Hwy NW, 								Lilburn, GA 30047",(770) 925-2027
Georgia (GA),Line Creek,"2720 Highway 54, 								Peachtree City, GA 30269",(770) 486-6524
Georgia (GA),Locust Grove,"1005 Bandy Pkwy, 								Locust Grove, GA 30248",(404) 301-4422
Georgia (GA),Loganville,"4321 Atlanta Hwy, 								Loganville, GA 30052",(770) 554-1995
Georgia (GA),Lovejoy Station,"11161 Tara Blvd, 								Hampton, GA 30228",(770) 472-6101
Georgia (GA),Lulah Hills,"3795 N Druid Hills Rd, 								Decatur, GA 30033",(404) 636-8494
Georgia (GA),Macland Crossing,"2005 Macland Crossing Cir SW, 								Marietta, GA 30008",(678) 355-5297
Georgia (GA),Macon Road,"2421 Wynnton Rd, 								Columbus, GA 31906",(706) 321-5880
Georgia (GA),Madison (GA),"1781 Eatonton Rd, 								Madison, GA 30650",(706) 752-0219
Georgia (GA),Mall of Georgia,"3333 Buford Dr Spc No1071, 								Buford, GA 30519",(678) 482-6787
Georgia (GA),Mall of Georgia on Buford Drive,"3235 Buford Dr, 								Buford, GA 30519",(678) 482-4448
Georgia (GA),Manchester Expressway,"2730 Manchester Expy, 								Columbus, GA 31904",(706) 223-3115
Georgia (GA),McDonough,"1321 Highway 20 W, 								McDonough, GA 30253",(770) 954-0451
Georgia (GA),Memorial Drive,"5542 Memorial Dr, 								Stone Mountain, GA 30083",(404) 292-8097
Georgia (GA),Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, 								Atlanta, GA 30313",
Georgia (GA),Mercer University,"1400 Coleman Ave, 								Macon, GA 31207",(478) 301-2925
Georgia (GA),Midland,"6501 Kitten Lake Dr, 								Midland, GA 31820",(706) 568-4910
Georgia (GA),Midtown Savannah,"7 E Derenne Ave, 								Savannah, GA 31405",(912) 354-4355
Georgia (GA),Milledgeville,"1730 N Columbia St, 								Milledgeville, GA 31061",(478) 451-4830
Georgia (GA),Monroe (GA),"620 Highway 138, 								Monroe, GA 30655",(770) 266-0211
Georgia (GA),Moore Road,"1035 Peachtree Industrial Blvd, 								Suwanee, GA 30024",(770) 831-1177
Georgia (GA),Moultrie,"502 Lane St, 								Moultrie, GA 31768",(229) 890-1200
Georgia (GA),Mullins Crossing,"4201 Washington Rd, 								Evans, GA 30809",(706) 447-8895
Georgia (GA),North Dalton,"1275 N Glenwood Ave, 								Dalton, GA 30721",(706) 529-9114
Georgia (GA),North Decatur,"650 Decatur Village Way, 								Decatur, GA 30033",(404) 800-5211
Georgia (GA),North Druid Hills,"2340 N Druid Hills Rd NE, 								Atlanta, GA 30329",(404) 634-4953
Georgia (GA),North Point Mall,"2180 N Point Cir, 								Alpharetta, GA 30022",(770) 410-9393
Georgia (GA),North Point Parkway,"6085 N Point Pkwy, 								Alpharetta, GA 30022",(770) 667-8080
Georgia (GA),North Valdosta,"3147 Inner Perimeter Rd, 								Valdosta, GA 31602",(229) 245-0144
Georgia (GA),Northeast Georgia Medical Center,"743 Spring St NE, 								Gainesville, GA 30501",(770) 219-2046
Georgia (GA),Northlake Festival,"3967 Lavista Rd, 								Tucker, GA 30084",(770) 939-9001
Georgia (GA),Northridge Drive-Thru Only,"8433 Roswell Rd, 								Atlanta, GA 30350",(770) 642-6575
Georgia (GA),Oakwood,"3437 Winder Hwy, 								Flowery Branch, GA 30542",(770) 297-9045
Georgia (GA),Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, 								Woodstock, GA 30188",(770) 592-4755
Georgia (GA),Peach Orchard Road,"3130 Peach Orchard Rd, 								Augusta, GA 30906",(706) 792-6261
Georgia (GA),Peachtree at Collier,"1901 Peachtree Rd NE, 								Atlanta, GA 30309",(470) 668-0887
Georgia (GA),Peachtree Center,"225 Peachtree St NE # B-40, 								Atlanta, GA 30303",(404) 577-4194
Georgia (GA),Peachtree City Midtown,"707 Highway 54, 								Peachtree City, GA 30269",(770) 487-0042
Georgia (GA),Peachtree Corners,"6105 Peachtree Pkwy, 								Norcross, GA 30092",(770) 368-0833
Georgia (GA),Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, 								Duluth, GA 30096",(770) 497-1270
Georgia (GA),Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, 								Atlanta, GA 30346",(770) 351-6915
Georgia (GA),Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, 								Atlanta, GA 30346",(770) 394-3189
Georgia (GA),Perimeter Pointe,"1145 Mount Vernon Hwy, 								Dunwoody, GA 30338",(470) 440-8997
Georgia (GA),Piedmont Augusta,"1350 Walton Way, 								Augusta, GA 30901",(706) 774-2209
